playerName,sport,position,realrating,,,,,Sport,Position,Symbol
Nazem Kadri,NHL,NHL,233.2,,,,,,,
Sam Reinhart,NHL,NHL,231.3,,,,,,,
Connor McDavid,NHL,NHL,228.6,,,,,,,
Kyle Connor,NHL,NHL,228.5,,,,,,,
Brayden Point,NHL,NHL,228.3,,,,,,,
Sebastian Aho,NHL,NHL,228,,,,,,,
Dylan Strome,NHL,NHL,225.9,,,,,,,
Zach Werenski,NHL,NHL,225.4,,,,,,,
Bo Horvat,NHL,NHL,224.2,,,,,,,
J.T. Miller,NHL,NHL,220.1,,,,,,,
Tage Thompson,NHL,NHL,220,,,,,,,
Robert Thomas,NHL,NHL,218.3,,,,,,,
Brandon Hagel,NHL,NHL,217.1,,,,,,,
Wyatt Johnston,NHL,NHL,215.7,,,,,,,
Brady Tkachuk,NHL,NHL,214.5,,,,,,,
Filip Forsberg,NHL,NHL,214.4,,,,,,,
Jake Guentzel,NHL,NHL,213,,,,,,,
Aleksander Barkov,NHL,NHL,212.4,,,,,,,
Mitch Marner,NHL,NHL,212.3,,,,,,,
Anze Kopitar,NHL,NHL,212,,,,,,,
Mikko Rantanen,NHL,NHL,210.8,,,,,,,
William Nylander,NHL,NHL,210.4,,,,,,,
Tomas Hertl,NHL,NHL,210,,,,,,,
Alex Tuch,NHL,NHL,207.4,,,,,,,
Tom Wilson,NHL,NHL,206.6,,,,,,,
Matt Boldy,NHL,NHL,206.3,,,,,,,
Rickard Rakell,NHL,NHL,203.4,,,,,,,
Adrian Kempe,NHL,NHL,201.7,,,,,,,
Sam Bennett,NHL,NHL,201.2,,,,,,,
Alex Ovechkin,NHL,NHL,201.1,,,,,,,
Pierre-Luc Dubois,NHL,NHL,200.9,,,,,,,
Tim Stützle,NHL,NHL,200.7,,,,,,,
Macklin Celebrini,NHL,NHL,200.1,,,,,,,
Brayden Schenn,NHL,NHL,200.1,,,,,,,
Elias Lindholm,NHL,NHL,199.5,,,,,,,
Anthony Cirelli,NHL,NHL,199,,,,,,,
Matt Duchene,NHL,NHL,198.1,,,,,,,
Brock Nelson,NHL,NHL,197.5,,,,,,,
Jason Robertson,NHL,NHL,196.6,,,,,,,
Clayton Keller,NHL,NHL,195.4,,,,,,,
Adam Fantilli,NHL,NHL,195,,,,,,,
Roope Hintz,NHL,NHL,195,,,,,,,
Artemi Panarin,NHL,NHL,194.4,,,,,,,
Dylan Cozens,NHL,NHL,191.3,,,,,,,
Jesper Bratt,NHL,NHL,191.2,,,,,,,
Cole Caufield,NHL,NHL,191,,,,,,,
Mika Zibanejad,NHL,NHL,190.3,,,,,,,
Alex DeBrincat,NHL,NHL,190.1,,,,,,,
Ryan O'Reilly,NHL,NHL,189.7,,,,,,,
Martin Necas,NHL,NHL,189.2,,,,,,,
Mikael Granlund,NHL,NHL,189,,,,,,,
Seth Jarvis,NHL,NHL,188.7,,,,,,,
MacKenzie Weegar,NHL,NHL,188.5,,,,,,,
Travis Konecny,NHL,NHL,186.7,,,,,,,
Jack Hughes,NHL,NHL,185.6,,,,,,,
Kirill Marchenko,NHL,NHL,185.3,,,,,,,
Jordan Kyrou,NHL,NHL,185,,,,,,,
Dylan Holloway,NHL,NHL,183,,,,,,,
Timo Meier,NHL,NHL,182.9,,,,,,,
Rasmus Dahlin,NHL,NHL,182,,,,,,,
Drake Batherson,NHL,NHL,181.8,,,,,,,
Moritz Seider,NHL,NHL,181.3,,,,,,,
Ryan Donato,NHL,NHL,181.3,,,,,,,
Marco Rossi,NHL,NHL,180.6,,,,,,,
Kiefer Sherwood,NHL,NHL,179.9,,,,,,,
Connor Bedard,NHL,NHL,177.8,,,,,,,
Victor Hedman,NHL,NHL,177.4,,,,,,,
Lucas Raymond,NHL,NHL,176.9,,,,,,,
Steven Stamkos,NHL,NHL,176.4,,,,,,,
Logan Cooley,NHL,NHL,176.4,,,,,,,
Evan Bouchard,NHL,NHL,174.8,,,,,,,
Anton Lundell,NHL,NHL,174.1,,,,,,,
Jake Sanderson,NHL,NHL,173.4,,,,,,,
Bryan Rust,NHL,NHL,173,,,,,,,
Quinton Byfield,NHL,NHL,172.5,,,,,,,
Matthew Knies,NHL,NHL,172,,,,,,,
Mason McTavish,NHL,NHL,171.7,,,,,,,
Kevin Fiala,NHL,NHL,171.7,,,,,,,
